Number of iterations,aspiration,lenght of tabu list,maximum run time,Nb customers,Nb vehicles,Capacity,DB,results,num graph

100,True,7,75,15,3,140,0.8034807981054621,414.43713625116237,0
100,False,3,60,15,2,160,0.8939493609861389,449.3407945815389,1
100,False,3,75,15,1,400,0.0,43.86342439892266,2
100,False,3,75,15,2,170,0.8003504120229101,443.2536342608296,3
100,True,3,75,15,3,100,0.8091833731707992,763.4094087463258,4
100,True,3,60,15,2,350,1.2668475460712783,440.09730965260326,5
100,False,3,75,15,2,280,0.7965197209144423,490.2861190582174,6
100,True,3,60,15,7,50,0.6963064123045851,841.0615905519787,7
100,False,3,75,15,2,280,1.1063759232701733,428.1954168738406,8
100,False,3,60,15,2,160,0.9193482782335318,447.19236863158994,9
100,True,4,60,19,8,55,0.6419341353962966,1434.8702457327904,1
100,True,4,75,19,4,100,0.7557844768953441,743.3737672336616,2
100,True,4,75,19,3,150,0.7988501386058595,550.8295101146825,3
100,False,18,75,19,3,150,0.805718131089582,704.8367970567537,4
100,False,4,60,19,3,200,0.8979525491896196,771.4626827257282,5
100,True,4,60,19,3,100,0.9110946472711077,643.1763906836748,6
100,True,4,60,19,11,3000,0.46924546114659166,1739.328991211005,7
100,False,18,75,19,7,55,0.6785168111211278,1056.853658226094,8
100,False,4,75,19,2,350,0.8161180699201307,490.87337702463753,9
100,False,4,60,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,44,75,178,62,50,0.6856375901004754,11002.610845907391,2
100,False,44,75,178,31,100,0.7070996176270493,7241.344808948737,3
100,False,44,60,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,44,60,178,67,60,0.640845456458792,11958.542180868344,5
100,False,44,75,178,17,160,0.8357352305268714,6079.5868010495005,6
125,True,89,75,178,32,100,0.8042601925574709,7857.233932679582,7
100,False,44,75,178,23,150,0.7563648957992244,7679.0794045995335,8
100,True,44,60,178,80,40,0.5746265807911466,14328.771322692985,9
100,False,44,75,178,70,60,0.7091042535769454,13026.221663085707,10
100,False,44,75,178,31,100,0.7852465119175455,7506.291406763835,11
100,True,47,75,189,53,80,0.6968797007901961,9679.27462833874,3
100,False,47,60,189,83,3000,0.6741824711891642,11583.876043148513,4
100,False,47,75,189,29,200,0.7778536723092321,8279.856995257309,5
100,False,47,75,189,26,150,0.8188348040450285,7646.934205542732,6
100,True,47,75,189,32,100,0.7523650970118648,7665.0009023627,7
100,False,47,60,189,81,35,0.5929555748074384,13678.269759268918,8
100,True,47,75,189,33,100,0.8000121483540525,9038.581017861055,9
100,True,5,60,20,10,55,0.4922802460433633,1520.8005183707587,4
100,True,5,60,20,4,140,0.7201067316905034,732.5329265956982,5
100,False,5,60,20,9,3000,0.6692256042246637,1147.325277303411,6
100,False,5,60,20,8,45,0.3695817027511457,1329.8931740192777,7
100,False,5,75,20,4,135,0.5679448418588013,961.7727314928305,8
100,False,10,60,20,2,280,0.7977682015914132,485.0161695095137,9
100,True,5,60,20,2,170,0.9536311461697297,616.8982172694623,10
100,False,10,60,20,4,140,0.4949777883022027,1053.3574661947346,11
100,True,5,60,20,2,400,0.9047419707587047,508.10124905615123,12
100,False,5,75,20,11,55,0.6036071506511361,1164.412700310124,13
100,True,9,60,39,12,80,0.7653305454385012,1864.289320586167,5
100,True,9,75,39,3,400,0.7859818752850035,864.7906732949255,6
100,False,9,75,39,8,100,0.7201983477278543,1417.0545603674786,7
100,True,9,75,39,6,200,0.6999309084412837,1287.7331012702398,8
100,True,9,60,39,4,170,0.8337829196213788,1108.0393111901549,9
100,False,9,60,39,3,280,0.8504486105647121,926.9191485927101,10
100,True,9,75,39,8,100,0.6819696043968967,1778.892209645211,11
100,True,19,60,39,12,80,0.7430716745190961,1848.322023842603,12
100,False,9,75,39,7,130,0.6621339008307204,1305.7309313374576,13
100,True,9,75,39,15,60,0.7169206500822136,2757.4321633626296,14
